timestamp,quantization,context_length,ngl,theoretical_kv_mb,ambient_vram_mb,post_load_vram_mb,loaded_delta_mb,prefill_peak_vram_mb,prefill_spike_mb,post_decode_vram_mb,experimental_kv_estimate_mb,is_paging_triggered,load_time_sec,prefill_time_sec,decode_step_time_sec
2026-06-24T11:04:12.522551,Q4_K_M,128,33,7.0,142.0,4482.53,4340.53,4510.53,28.0,4516.53,70.0,No,4.7541,0.273,0.0318
2026-06-24T11:05:16.104866,Q5_K_M,128,33,7.0,142.0,5142.53,5000.53,5170.53,28.0,5176.53,70.0,No,4.0482,0.246,0.0337
2026-06-24T11:06:58.779027,Q8_0,128,33,7.0,142.0,6124.53,5982.53,6096.53,0.0,6102.53,0.0,Yes,6.7125,0.2494,0.278
2026-06-24T11:09:33.073919,Q8_0,128,15,7.0,142.0,4184.53,4042.53,4210.53,26.0,4214.53,88.0,No,4.2564,0.5737,0.1126
2026-06-24T11:11:35.939019,Q4_K_M,128,33,7.0,142.0,4482.53,4340.53,4510.53,28.0,4516.53,70.0,No,4.3847,0.2139,0.0311
2026-06-24T11:11:44.162978,Q4_K_M,256,33,14.0,142.0,4558.53,4416.53,4588.53,30.0,4594.53,146.0,No,4.299,0.1389,0.0319
2026-06-24T11:11:52.302800,Q4_K_M,512,33,28.0,142.0,4724.53,4582.53,4766.53,42.0,4772.53,312.0,No,4.2005,0.1417,0.0641
2026-06-24T11:12:00.882528,Q4_K_M,1024,33,56.0,142.0,4752.53,4610.53,4808.53,56.0,4814.53,340.0,No,4.2549,0.5215,0.0665
2026-06-24T11:12:10.670575,Q4_K_M,2048,33,112.0,142.0,4808.53,4666.53,4892.53,84.0,4898.53,396.0,No,4.4326,1.4006,0.0785
2026-06-24T11:12:22.034929,Q4_K_M,4096,33,224.0,142.0,4920.53,4778.53,5058.53,138.0,5064.53,508.0,No,3.8335,3.5265,0.1027
2026-06-24T11:12:40.655682,Q5_K_M,128,33,7.0,142.0,5142.53,5000.53,5170.53,28.0,5176.53,70.0,No,4.815,0.2081,0.0349
2026-06-24T11:12:48.701721,Q5_K_M,256,33,14.0,142.0,5218.53,5076.53,5248.53,30.0,5254.53,146.0,No,4.0573,0.1777,0.0341
2026-06-24T11:12:56.490303,Q5_K_M,512,33,28.0,142.0,5384.53,5242.53,5426.53,42.0,5432.53,312.0,No,3.6659,0.152,0.0674
2026-06-24T11:13:05.376150,Q5_K_M,1024,33,56.0,142.0,5412.53,5270.53,5468.53,56.0,5474.53,340.0,No,4.3756,0.5657,0.0722
2026-06-24T11:13:15.296145,Q5_K_M,2048,33,112.0,142.0,5468.53,5326.53,5552.53,84.0,5558.53,396.0,No,4.3262,1.4342,0.0837
2026-06-24T11:13:27.168165,Q5_K_M,4096,33,224.0,142.0,5580.53,5438.53,5718.53,138.0,5724.53,508.0,No,4.6073,3.5562,0.109
2026-06-24T11:13:55.947215,Q8_0,128,33,7.0,142.0,6124.53,5982.53,6096.53,0.0,6102.53,0.0,Yes,6.6256,0.3284,0.2888
2026-06-24T11:14:09.825795,Q8_0,256,33,14.0,142.0,6124.53,5982.53,6098.53,0.0,6104.53,0.0,Yes,7.0522,0.1902,0.4007
2026-06-24T11:14:26.019531,Q8_0,512,33,28.0,142.0,6110.53,5968.53,6096.53,0.0,6102.53,0.0,Yes,7.0947,0.2276,0.8138
2026-06-24T11:14:45.753712,Q8_0,1024,33,56.0,142.0,6110.53,5968.53,6110.53,0.0,6116.53,0.0,Yes,6.7365,3.567,0.9133
2026-06-24T11:15:18.466191,Q8_0,2048,33,112.0,142.0,6110.53,5968.53,6128.53,18.0,6128.53,0.0,Yes,6.4024,12.0628,1.2715
2026-06-24T11:16:20.091899,Q8_0,4096,33,224.0,142.0,6110.53,5968.53,6132.53,22.0,6132.53,0.0,Yes,5.9655,39.6339,2.155
2026-06-24T11:16:44.660757,Q8_0,128,15,7.0,142.0,4184.53,4042.53,4210.53,26.0,4214.53,88.0,No,5.5067,1.0776,0.1164
2026-06-24T11:16:56.763698,Q8_0,256,15,14.0,142.0,4242.53,4100.53,4270.53,28.0,4274.53,146.0,No,4.8622,0.6491,0.1058
2026-06-24T11:17:09.118126,Q8_0,512,15,28.0,142.0,4400.53,4258.53,4440.53,40.0,4444.53,304.0,No,5.852,0.8897,0.1101
2026-06-24T11:17:23.849731,Q8_0,1024,15,56.0,142.0,4414.53,4272.53,4468.53,54.0,4472.53,318.0,No,6.8481,2.1244,0.1235
2026-06-24T11:17:40.632741,Q8_0,2048,15,112.0,142.0,4442.53,4300.53,4532.53,90.0,4534.53,346.0,No,5.8913,4.7856,0.1108
2026-06-24T11:18:02.340485,Q8_0,4096,15,224.0,142.0,4498.53,4356.53,4650.53,152.0,4652.53,402.0,No,6.561,8.5158,0.1216
